CIUDAD,Ambato,Azogues,Babahoyo,Cuenca,Esmeraldas,Guaranda,Guayaquil,Ibarra,Latacunga,Loja,Macas,Machala,Nueva Loja,Portoviejo,Pto. Fco. De Orellana,Puyo,Quito,Riobamba,Tena,Tulcán,Zamora,Aloag,Sto. Domingo,Baños,Bahía de Caraquez,Baeza,Rumichaca,Macara,Huaquillas,Manta,Otavalo,Salinas,San Lorenzo,Quevedo,Quininde,Pte. San Miguel,Pto. Putumayo,Pto. Morona,Muisne,Pedernales
Ambato,0,0,0,0,0,92,0,0,41,0,0,0,0,0,0,0,0,54,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azogues,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Babahoyo,0,0,0,0,0,123,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0
Cuenca,0,41,0,0,0,0,191,0,0,207,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Esmeraldas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,166,0,91,0,0,0,83,190
Guaranda,92,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guayaquil,0,0,63,191,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,166,0,0,0,0,0,0
Ibarra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,130,0,0,0,0,0,0,0,0,0,0,24,0,178,0,0,0,0,0,0,0
Latacunga,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loja,0,0,0,207,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0
Macas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0
Machala,0,0,0,160,0,0,176,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0
Nueva Loja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,188,0,0,0
