CIUDAD,Ambato,Azogues,Babahoyo,Cuenca,Esmeraldas,Guaranda,Guayaquil,Ibarra,Latacunga,Loja,Macas,Machala,Nueva Loja,Portoviejo,Pto. Fco. De Orellana,Puyo,Quito,Riobamba,Tena,Tulcán,Zamora,Aloag,Sto. Domingo,Baños,Bahía de Caraquez,Baeza,Rumichaca,Macara,Huaquillas,Manta,Otavalo,Salinas,San Lorenzo,Quevedo,Quininde,Pte. San Miguel,Pto. Morona,Muisne,Pedernales
Ambato,0,280,212,321,371,92,277,254,41,529,236,413,380,356,354,102,111,54,180,381,586,97,194,40,416,219,385,710,428,385,230,445,428,212,280,406,445,439,318
Azogues,280,0,231,41,613,260,209,534,321,253,250,194,660,407,592,340,391,227,418,661,311,377,436,280,486,499,665,430,254,411,511,379,708,334,522,686,320,675,555
Babahoyo,212,231,0,272,382,123,63,470,253,479,335,200,592,224,542,290,327,177,368,596,537,312,205,237,304,437,601,661,260,228,446,233,644,103,291,622,544,444,428
Cuenca,321,41,272,0,654,301,191,575,362,207,260,160,705,388,633,381,432,268,459,702,265,418,477,321,468,540,706,386,213,392,552,359,749,375,563,732,331,716,596
Esmeraldas,371,613,382,654,0,502,447,312,330,861,603,582,565,383,599,569,300,421,489,395,919,271,170,413,283,406,400,104,642,371,335,602,166,291,91,576,812,83,190
Guaranda,92,260,123,301,502,0,184,346,133,508,215,320,495,347,423,171,204,57,249,473,566,189,287,111,426,334,477,686,379,351,323,356,520,223,369,520,424,439,318
Guayaquil,277,209,63,191,447,184,0,533,316,398,353,176,658,175,605,353,390,240,431,659,456,375,268,291,255,501,664,576,236,180,509,150,583,166,354,687,529,507,387
Ibarra,254,534,470,575,312,346,533,0,216,782,490,670,346,472,380,348,112,308,270,130,840,157,255,295,450,187,135,961,729,494,24,704,178,365,310,307,699,500,379
Latacunga,41,321,253,362,330,133,316,216,0,580,287,453,339,315,395,143,70,105,220,340,637,56,154,82,375,178,344,748,513,345,189,488,387,173,236,365,486,398,277
Loja,529,253,479,207,861,508,398,782,580,0,381,246,834,593,762,509,640,482,587,909,57,625,684,528,673,747,913,178,244,597,759,565,956,583,770,861,467,924,803
Macas,236,250,335,260,603,215,353,490,287,381,0,420,452,559,380,128,347,182,206,616,316,332,430,190,641,291,621,576,473,566,466,523,664,460,512,481,209,675,554
